,username,retweetCount,replyCount,followersCount
6196,emergentp,10.0,2.0,3148.0
207,AdamCMarkham,10.0,1.0,3215.0
3279,NeferFej,10.0,2.0,6030.0
8355,shailjapatel,10.0,1.0,57011.0
2495,KauffmannAudrey,10.0,1.0,3479.0
7041,khelmst,10.0,1.0,1626.0
7990,plunderedart,10.0,5.0,2984.0
7405,metmuseum,10.0,0.0,4309921.0
7153,legitngnews,10.0,4.0,841167.0
3345,NicholasMOD,10.0,2.0,1269.0
1730,Folakemie_,10.0,14.0,860.0
7652,newyorknewart,10.0,1.0,4490.0
6590,histanthro,10.0,1.0,1495.0
4406,TahirDella,10.0,0.0,4130.0
1433,DrMaxKoss,10.0,2.0,2022.0
8733,tibetcurator,10.0,0.0,2257.0
2091,IIC_,10.0,0.0,13210.0
4585,Tiduswins,10.0,0.0,1271.0
1709,FinPlanKaluAja1,10.0,10.0,40715.0
6016,digispikex,10.0,1.0,3455.0
2546,Kitchnbutterfly,10.0,5.0,7079.0
7726,nytimesworld,10.0,3.0,2112371.0
6922,joshspero,10.0,6.0,14538.0
7045,kidehen,10.0,10.0,7250.0
242,AfrStudiesLib,10.0,0.0,3010.0
8764,toluogunlesi,10.0,0.0,696829.0
4805,WPReview,9.0,0.0,73229.0
5329,anthunesarth,9.0,1.0,21914.0
1877,Gistloversblog1,9.0,5.0,120460.0
8154,richkbristol,9.0,2.0,8179.0
748,BlackBrWriting,9.0,0.0,1639.0
162,ATLBlackStar,9.0,8.0,45001.0
8574,sweetstepz,9.0,1.0,66.0
3232,NaijaHistoryGrp,9.0,6.0,217.0
740,Binzaranda,9.0,0.0,3711.0
259,AfricaRepublic,9.0,2.0,7472.0
5047,abigailcjoseph,9.0,0.0,521.0
2717,LindenMuseum,9.0,0.0,6166.0
6905,johnthejack,9.0,2.0,4024.0
6716,imodara,9.0,2.0,882.0
6265,explorak,9.0,0.0,364.0
6422,genlivecast,9.0,0.0,636.0
5149,agms10,9.0,1.0,3180.0
2919,MarjanBoelsma,9.0,1.0,3789.0
7904,patrickkwabena,9.0,1.0,6982.0
5491,bbcnewspidgin,9.0,0.0,17264.0
4586,Tilley101,9.0,1.0,7910.0
3210,NNPCgroup,9.0,2.0,359799.0
4282,Spurlin23,9.0,0.0,7.0
1744,FowlerMuseum,9.0,1.0,7349.0
6565,hel_no_wai,9.0,1.0,860.0
5458,ayushi_nayak,9.0,1.0,4242.0
455,AnnieBecky,9.0,1.0,2888.0
4736,VEEGCulture,9.0,2.0,689.0
5222,alixebovey,9.0,2.0,5178.0
463,AntheaButler,9.0,1.0,52798.0
6753,irawotalents,9.0,0.0,8508.0
3022,MidEastInEurope,9.0,1.0,2823.0
8926,voxdotcom,9.0,5.0,1023029.0
6597,historyogi,9.0,2.0,5810.0
6109,durrellb,8.0,3.0,679.0
4359,SusanNjanji,8.0,0.0,3973.0
7391,melissachemam,8.0,0.0,5898.0
4520,TheNationalNews,8.0,1.0,1058326.0
2122,Ian_Fraser,8.0,3.0,33484.0
2146,ImageOfTheBlack,8.0,0.0,246.0
