,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
3029,eleventh,1,0.004927767,0.0029758015,0.061569344,0.013411278,0.010336384,0.63285375,0.034857064,0.07269657,0.012607723,0.023303222,0.089766584,0.007968604,0.032725953,"GreaterEuropean,British",Non-African
3030,elgar,1,0.00020728538,0.0010761996,0.005187151,0.020009916,0.12533924,0.20311558,0.07978483,0.29727072,0.03632369,0.010075118,0.12640426,0.024407627,0.07079841,"GreaterEuropean,Jewish",Non-African
3031,eliade,1,0.010400385,0.029856633,0.1110511,0.13918053,0.08215683,0.10580796,0.058178462,0.12790795,0.07480133,0.04171749,0.10940411,0.042313367,0.06722385,"GreaterAfrican,Africans",African
3032,elias,1,0.008439734,0.014270419,0.025945375,0.016397875,0.11993881,0.25135761,0.025847655,0.30890363,0.026570609,0.06466418,0.078961775,0.047085043,0.011617277,"GreaterEuropean,Jewish",Non-African
3033,eliezer,1,0.0018914685,0.0045059053,0.00076373055,0.0043393886,0.016275026,0.13696203,0.03188176,0.48198745,0.06664449,0.123245366,0.077026054,0.02704237,0.02743499,"GreaterEuropean,Jewish",Non-African
3034,elkins,1,0.009147278,0.006857025,0.0057562976,0.00106454,0.010169635,0.80719876,0.003183617,0.060862042,0.020234492,0.03441892,0.02249828,0.010304717,0.008304434,"GreaterEuropean,British",Non-African
3035,ellen,1,0.0028653007,0.003077621,0.0009444714,0.0133496,0.013640955,0.49293318,0.030509587,0.26699266,0.03447471,0.043284416,0.01694128,0.0057473383,0.07523885,"GreaterEuropean,British",Non-African
3036,elliott,1,0.006139617,0.0023011083,0.0024018197,0.0013691487,0.0017748153,0.9529606,0.0014573053,0.013559577,0.004530801,0.0012874921,0.008003729,0.0032509558,0.0009629848,"GreaterEuropean,British",Non-African
3037,ellis,1,0.00056004885,0.0012455693,0.0011632653,0.009850301,0.0017190775,0.9249558,0.001645955,0.037158128,0.0077087656,0.0031435569,0.0058060796,0.0032538048,0.0017897121,"GreaterEuropean,British",Non-African
3038,elperin,1,0.00067680725,0.00240312,0.0007616225,0.0016500831,0.014968902,0.07635385,0.1158883,0.63363343,0.047074102,0.02382122,0.064703375,0.010163749,0.007901499,"GreaterEuropean,Jewish",Non-African
3039,email,1,0.012444025,0.056657102,0.055168442,0.08071709,0.4489669,0.056225333,0.015494313,0.020237762,0.20561022,0.0013108102,0.01800052,0.020604463,0.008562993,"GreaterAfrican,Muslim",African
3040,embankment,1,0.0034439878,0.00041648038,0.013817651,0.009207635,0.0068104886,0.16370499,0.38136637,0.031055262,0.23327687,0.10138813,0.0463094,0.0042189523,0.004983736,"GreaterEuropean,EastEuropean",Non-African
3041,emmerich,1,0.05487543,0.027675662,0.0052777966,0.014902292,0.0082300585,0.050191883,0.19949657,0.024138438,0.03154042,0.3567744,0.039900728,0.1678755,0.019120775,"GreaterEuropean,WestEuropean,Germanic",Non-African
3042,employee,1,0.012462123,0.0062875524,0.0044926107,0.16183397,0.02771158,0.48573768,0.0052020187,0.008634652,0.23377009,0.0056654955,0.042303205,0.0053868704,0.0005121261,"GreaterEuropean,British",Non-African
3043,encounters,1,0.009729875,0.005801937,0.00396822,0.005246387,0.004043519,0.78599316,0.01235563,0.018643577,0.12189062,0.0039130333,0.015451889,0.008059925,0.004902133,"GreaterEuropean,British",Non-African
3044,endocrinol,1,0.0028150976,0.0025016705,0.0042172195,0.01226587,0.010389847,0.4536475,0.09066187,0.0282513,0.1910587,0.006867271,0.12788157,0.06883968,0.00060236146,"GreaterEuropean,British",Non-African
3045,enfouie,1,0.040739503,0.0010693263,0.0016266358,0.032071978,0.0022612005,0.22853282,0.00022742293,0.008326036,0.6770776,0.0005807537,0.0031700411,0.001327336,0.0029893825,"GreaterEuropean,WestEuropean,French",Non-African
3046,engl,1,0.04031156,0.008603128,0.020209601,0.00417102,0.065670386,0.40642795,0.043855984,0.007749397,0.026212597,0.102825634,0.010602114,0.030850763,0.23250991,"GreaterEuropean,British",Non-African
